,설치년도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),충전기ID,충전소ID,위도,경도,법정동코드,법정동명,중심위도,중심경도,충전소중심지거리(급속),인근충전소위도(급속),인근충전소경도(급속),인근충전소거리(급속)
1704,2022,도봉구,서울특별시 도봉구 노해로 313,서울시 도봉구 북부교육지원청,공공시설,지자체시설,급속,DC콤보,4,PI200984,37.651664697,127.04335887,11320107,창동,37.647745491815094,127.04406470622502,439.42916674415784,37.5023936,127.0058606,16923.947407129217
1705,2022,서초구,서울특별시 서초구 반포대로 222,서울시 서초구 서울성모병원,근린생활시설,병원,급속,DC콤보,5,PI200985,37.5023936,127.0058606,11650107,반포동,37.50396464822147,127.00076347605462,483.2501633637963,37.468816481,126.95941091,5544.094497363457
1706,2022,서초구,서울특별시 서초구 반포대로 222,서울시 서초구 서울성모병원,근린생활시설,병원,급속,DC콤보,6,PI200985,37.5023936,127.0058606,11650107,반포동,37.50396464822147,127.00076347605462,483.2501633637963,37.468816481,126.95941091,5544.094497363457
1707,2022,관악구,서울특별시 관악구 낙성대로 101,서울시 관악구 서울과학전시관,교육문화시설,관람장,급속,DC콤보,1,PI200986,37.468816481,126.95941091,11620101,봉천동,37.47797496610814,126.9534874765543,1143.569304675665,37.491094114,127.07416395,10424.469188573648
1708,2022,관악구,서울특별시 관악구 낙성대로 101,서울시 관악구 서울과학전시관,교육문화시설,관람장,급속,DC콤보,2,PI200986,37.468816481,126.95941091,11620101,봉천동,37.47797496610814,126.9534874765543,1143.569304675665,37.491094114,127.07416395,10424.469188573648
1709,2022,강남구,서울특별시 강남구 영동대로 22,서울시 강남구 일원스포츠문화센터,교육문화시설,공연장,급속,DC콤보,1,PI200987,37.491094114,127.07416395,11680114,일원동,37.488008106820445,127.08286049104915,841.9200483589252,37.627813954,126.92915553,19861.942987814335
1710,2022,강남구,서울특별시 강남구 영동대로 22,서울시 강남구 일원스포츠문화센터,교육문화시설,공연장,급속,DC콤보,2,PI200987,37.491094114,127.07416395,11680114,일원동,37.488008106820445,127.08286049104915,841.9200483589252,37.627813954,126.92915553,19861.942987814335
1711,2022,은평구,서울특별시 은평구 연서로 365,서울시 은평구 은평경찰서,교육문화시설,공연장,급속,DC콤보,1,PI200988,37.627813954,126.92915553,11380103,불광동,37.619155862149974,126.93557752686439,1115.7275262902883,37.5586287,127.1117068,17829.107435326077
1712,2022,은평구,서울특별시 은평구 연서로 365,서울시 은평구 은평경찰서,교육문화시설,공연장,급속,DC콤보,2,PI200988,37.627813954,126.92915553,11380103,불광동,37.619155862149974,126.93557752686439,1115.7275262902883,37.5586287,127.1117068,17829.107435326077
1713,2022,광진구,서울특별시 광진구 워커힐로 177,서울시 광진구 그랜드워커힐서울,상업시설,숙박시설,급속,DC콤보,5,PI200991,37.5586287,127.1117068,11215104,광장동,37.547832780011206,127.1047097030555,1348.3318941618247,37.551591,126.861929,22032.23751288135
1714,2022,광진구,서울특별시 광진구 워커힐로 177,서울시 광진구 그랜드워커힐서울,상업시설,숙박시설,급속,DC콤보,6,PI200991,37.5586287,127.1117068,11215104,광장동,37.547832780011206,127.1047097030555,1348.3318941618247,37.551591,126.861929,22032.23751288135
1715,2018,강서구,"서울특별시 강서구 공항대로58가길 8 (등촌동, 한국전기공사협회)",한국전기공사협회,기타시설,기타,급속,DC차데모+AC3상+DC콤보,1,PI201663,37.551591,126.861929,11500102,등촌동,37.55456418997172,126.8543090962772,749.8313519904245,37.550236,126.862016,150.86420600421172
1716,2018,강남구,"서울특별시 강남구 남부순환로 2653 (도곡동, KT양재지점)",케이티양재빌딩,공동주택시설,사업장(사옥),급속,DC차데모+AC3상+DC콤보,1,PI202864,37.4859,127.04,11680118,도곡동,37.488595876138916,127.04527689043202,554.3688766504166,37.479804,126.87708,14391.562200009319
1717,2021,강남구,"서울특별시 강남구 남부순환로 2653 (도곡동, KT양재지점)",케이티양재빌딩,공동주택시설,사업장(사옥),급속,DC차데모+AC3상+DC콤보,5,PI202864,37.4859,127.04,11680118,도곡동,37.488595876138916,127.04527689043202,554.3688766504166,37.479804,126.87708,14391.562200009319
1718,2022,금천구,서울특별시 금천구 서부샛길 606,대성디폴리스지식산업센터,기타시설,기타,급속,DC콤보,10,PI203027,37.479804,126.87708,11545101,가산동,37.47668465005588,126.8837782478907,686.2042242294001,37.466497223,127.02259934,12926.835078712562
