자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
동대문구,휘경1동,6,0,1382,7,2,322,74,223,1953,3969,동대문구,1123072000,휘경제1동,19880423,,동대문구,휘경제1동,1123010900,휘경동,19880423,
동대문구,휘경2동,15,0,2050,10,5,488,93,421,3262,6344,동대문구,1123073000,휘경제2동,19880423,,동대문구,휘경제2동,1123000100,면목동,19880423,19921001
동작구,노량진1동,6,0,2580,19,14,538,145,672,4908,8882,동작구,1159051000,노량진제1동,19880423,,동작구,노량진제1동,1159010100,노량진동,19880423,
동작구,노량진2동,0,0,823,3,3,157,47,125,1058,2216,동작구,1159052000,노량진제2동,19880423,,동작구,노량진제2동,1159010100,노량진동,19880423,
동작구,대방동,8,0,2920,19,11,636,135,745,5767,10241,동작구,1159066000,대방동,19880423,,동작구,대방동,1159010800,대방동,19880423,
동작구,사당1동,6,0,1769,10,6,341,76,340,2903,5451,동작구,1159062000,사당제1동,19880423,,동작구,사당제1동,1159010700,사당동,19880423,
동작구,사당2동,0,0,2205,15,7,401,119,723,4815,8285,동작구,1159063000,사당제2동,19880423,,동작구,사당제2동,1159010600,동작동,20080901,
동작구,사당3동,1,0,1932,10,9,373,96,584,3988,6993,동작구,1159064000,사당제3동,19880423,,동작구,사당제3동,1159010700,사당동,19880423,
동작구,사당4동,0,0,1104,2,3,272,47,207,1836,3471,동작구,1159065000,사당제4동,19880423,,동작구,사당제4동,1159010700,사당동,19880423,
동작구,사당5동,1,0,1203,4,6,236,73,331,2276,4130,동작구,1159065100,사당제5동,19920701,,동작구,사당제5동,1159010700,사당동,19920701,
동작구,상도1동,2,0,3232,20,11,794,199,1084,6926,12268,동작구,1159053000,상도제1동,19880423,,동작구,상도제1동,1159010200,상도동,19880423,
동작구,상도2동,0,0,2125,12,7,375,154,741,4742,8156,동작구,1159054000,상도제2동,19880423,,동작구,상도제2동,1159010200,상도동,19880423,
동작구,상도3동,0,0,1902,6,8,498,64,332,2890,5700,동작구,1159055000,상도제3동,19880423,,동작구,상도제3동,1159010200,상도동,19880423,
동작구,상도4동,8,0,2257,10,11,562,104,408,3586,6946,동작구,1159056000,상도제4동,19880423,,동작구,상도제4동,1159010200,상도동,19880423,
동작구,신대방1동,0,0,2598,14,10,373,120,526,4058,7699,동작구,1159067000,신대방제1동,19880423,,동작구,신대방제1동,1159010900,신대방동,19880423,
동작구,신대방2동,1,0,1978,9,9,387,102,439,3500,6425,동작구,1159068000,신대방제2동,19880423,,동작구,신대방제2동,1159010900,신대방동,19880423,
동작구,흑석동,9,0,2545,16,13,347,199,969,5343,9441,동작구,1159060500,흑석동,20080201,,동작구,흑석동,1159010500,흑석동,20080201,
마포구,공덕동,0,0,3842,23,12,574,212,889,6224,11776,마포구,1144056500,공덕동,20080107,,마포구,공덕동,1144010100,아현동,20080107,
